LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hartlepool,110500,104000,108000,115748,120000,124000,119950,124950,125000,129950,131375,132000
Middlesbrough,105000,102000,107000,110000,120000,129500,130000,125750,133500,135995,133000,133250
Redcar and Cleveland,117250,110000,115000,120000,123000,127500,130000,130000,132000,131000,135000,140000
Stockton-on-Tees,128000,124000,125000,129995,134950,135000,137500,144000,145000,149950,154950,152000
Darlington,125000,120000,119000,120000,125000,131000,132500,138000,141000,143000,150000,147500
County Durham,107995,100000,100000,105000,110000,110000,112000,114950,118000,120000,124000,125000
Northumberland,145000,135000,137000,140000,149000,155000,158250,160000,167250,167000,179000,177500
Newcastle upon Tyne,140000,130000,136000,136000,143000,151510,157000,155000,161995,164995,172000,179995
North Tyneside,140000,130000,135000,137000,146000,155000,157000,168000,169950,173000,177000,175000
South Tyneside,115000,104723,110000,115000,124973,129950,132000,134000,138000,135100,140000,142500
Sunderland,109725,105000,110000,110000,116500,120000,120000,124995,128000,130000,128625,135000
Gateshead,120000,115000,118000,124950,125000,129975,129500,132000,139950,138250,145375,143753
Halton,120000,115000,113250,124000,124950,128000,135000,140000,139950,150000,154000,158000
Warrington,150000,147500,147000,152000,157500,165000,169950,178000,184500,192000,205000,229950
Blackburn with Darwen,95000,93000,96000,98950,102995,103000,105000,110250,120000,123000,128000,130000
Blackpool,105000,97000,92500,95000,100000,103000,106000,112250,110000,115000,119000,125000
Cheshire East,175000,170000,170000,177000,185000,193750,205000,220000,235000,240000,249000,259997
Cheshire West and Chester,163000,155000,160000,165000,172500,182500,188000,199995,195995,204995,220000,231998
Allerdale,140000,129000,140000,145000,148250,145000,145000,160000,165000,164000,170000,160000
Barrow-in-Furness,99500,95500,96000,99725,105250,110000,116250,119975,125000,126250,130000,139450
Carlisle,120000,120000,124000,124000,124950,130000,132000,139500,140000,145000,152000,147500
Copeland,118000,112995,112000,115000,116000,120000,121000,125500,125000,127500,130000,135000
Eden,182000,170000,168000,172500,175000,185000,185000,186950,209975,205000,219500,225000
South Lakeland,204000,192250,193875,193450,205000,211000,218000,229950,225000,245000,252750,260000
Burnley,73000,75000,77500,73000,85000,78000,86000,90890,90000,94000,103000,117000
Chorley,150000,145950,150000,148000,154995,162950,165000,170000,166000,174750,181500,188000
Fylde,173950,155000,160000,165000,173000,184950,191995,197250,195998,199000,215000,217500
Hyndburn,84750,85000,88000,89000,86000,92000,100000,102500,100000,110000,109500,118500
Lancaster,132000,125000,130000,132000,138500,144500,152500,150000,153000,158000,168750,180000
Pendle,84000,82950,85000,85000,92000,90000,98500,105000,105000,110000,120000,130000
Preston,118000,115000,125000,124000,124000,125750,132500,140000,145000,150000,152000,158500
Ribble Valley,177500,184995,172125,182000,193500,203250,209500,219950,217500,237998,237500,238000
Rossendale,110000,112975,105000,115750,120000,122850,125000,133000,130000,135000,150000,166750
South Ribble,142500,139500,135000,144000,150000,151000,155000,158000,165000,165000,177950,182250
West Lancashire,160000,157000,160000,161250,168000,169973,181500,180000,190000,190000,195000,203000
Wyre,140000,135000,135000,134500,137500,140000,148000,152000,155000,158000,169950,173000
Bolton,110000,105000,106000,110000,115000,120000,125000,128000,135000,138000,148000,162000
Bury,125000,120000,123000,124500,135000,146995,150995,159950,167725,175000,187500,212250
Manchester,124000,127500,125000,128500,134923,143000,150000,163998,173000,181000,205995,216000
Oldham,110000,104500,107500,110000,116375,119500,123000,127500,130000,137000,150000,170000
Rochdale,105000,105000,114995,115000,120000,124950,125000,129995,132500,140500,150000,165000
Salford,112500,110000,115000,114000,120000,129995,145000,157498,160000,170500,190000,200000
Stockport,162000,158500,162000,165000,175000,183000,199950,205000,225000,227000,248000,270000
Tameside,109973,108000,107500,113500,118000,125000,128000,137995,140000,152000,160000,175000
Trafford,185000,185000,185000,195000,200000,220000,237725,250000,262500,271500,297000,320000
Wigan,112500,109950,110000,114000,119000,125000,125000,132500,138000,146995,150100,160000
Knowsley,109250,105475,106000,110000,112500,119000,120000,129995,139950,152000,159995,160000
Liverpool,112000,110500,110000,111000,118000,120000,120000,125000,125000,128000,139000,155000
St. Helens,118000,107000,110000,114000,122500,123750,130000,132000,133500,138000,145995,155000
Sefton,147500,140000,138600,140000,147000,151000,158500,164000,169950,175000,185000,196250
Wirral,134000,135950,135000,135000,140000,145000,150000,157000,160000,166500,170000,195000
"Kingston upon Hull, City of",90000,88000,89995,92000,99250,100000,108000,111000,115000,120000,120000,125000
East Riding of Yorkshire,145000,138500,140995,142750,150000,155000,163000,172500,179825,185000,198000,205000
North East Lincolnshire,115000,110000,110000,110000,119000,120000,125000,129000,130000,133000,143500,145000
North Lincolnshire,119950,112000,114950,118000,122225,125000,127500,134000,140000,142500,150000,160000
York,177000,173500,179725,182000,194347,213000,220000,229000,237000,245000,257000,275000
Craven,182500,175000,175500,169000,176000,185000,190000,199950,199020,220000,237250,230500
Hambleton,200000,200000,200000,200000,210000,215000,223250,227750,229000,235000,250000,265000
Harrogate,220000,215000,210000,219475,225000,248000,258000,267998,271000,293500,300000,310500
Richmondshire,200000,180000,185000,187500,184000,190500,195000,194950,212000,210000,225000,237500
Ryedale,185000,184000,178750,184999,185000,197500,212250,215000,225000,222000,247998,245000
Scarborough,143300,145000,142000,140000,145000,150000,149995,157500,158000,162500,175000,181000
Selby,156950,158000,160000,159995,163250,171998,183000,190500,205000,210000,220000,220000
Barnsley,101000,104950,105000,105000,115000,115000,118000,125000,130000,137000,138000,143500
Doncaster,112000,110000,110000,112000,119500,125000,127500,129995,130000,133000,140000,151000
Rotherham,119950,115000,119000,125000,125000,131000,132995,134950,140000,140000,152100,164000
Sheffield,127833,122000,125000,125000,133500,138000,142500,150000,159973,162000,168500,185000
Bradford,120000,118000,115000,120000,120000,126000,130000,132000,136125,139950,146000,150000
Calderdale,124000,117000,118000,120000,125000,130000,135000,135000,142500,147500,151750,161750
Kirklees,126000,123000,124500,125000,126000,135000,139973,145000,150000,157000,165000,175000
Leeds,144950,140000,142495,145000,150000,157000,165000,170000,177000,184973,200000,217000
Wakefield,125000,118000,120000,121000,125000,130000,139995,146000,153995,158000,160000,173335
Derby,123000,119000,124000,129950,134950,138000,143500,147500,156000,170000,172500,185000
Leicester,120000,122000,120000,123000,125000,135000,144000,157000,172000,177000,190000,215000
Rutland,217500,204000,210000,209000,220000,240000,244495,249995,264975,275000,315000,301000
Nottingham,100000,95000,99500,99995,110000,115000,124050,130000,138000,140000,153500,166000
Amber Valley,134000,125000,129261,131500,136000,153500,156725,163000,174000,176495,181000,202000
Bolsover,102475,95000,96000,98000,110000,114998,121000,125000,132000,135000,145000,152995
Chesterfield,123995,117000,120000,125000,130000,134250,135000,147750,150000,155000,171000,178500
Derbyshire Dales,215000,197500,199500,219000,220500,225250,235000,245000,264800,265000,275000,290000
Erewash,120000,117500,120000,122500,128000,135000,138000,145000,157500,160000,172500,187350
High Peak,143500,150000,150000,148500,151375,163000,170000,185000,189950,190000,200000,220000
North East Derbyshire,137750,143500,140000,145000,150000,165000,168000,175000,182000,190000,208000,208000
South Derbyshire,148000,142500,149950,148998,163500,170000,178000,197250,210000,218000,219950,222500
Blaby,151000,155000,152500,158000,170000,176000,198000,207975,220000,218000,232500,250000
Charnwood,154975,154000,158250,160000,170000,179950,190000,204950,215000,223000,230000,245000
Harborough,200000,187000,190000,195000,221995,233000,242000,260000,277995,294995,309975,315000
Hinckley and Bosworth,152250,149000,145000,150000,165000,172000,175000,193975,200000,204000,215000,235000
Melton,156000,157500,164000,160000,170000,172500,192250,192250,210000,224475,235000,249995
North West Leicestershire,149950,144995,138500,159000,167500,172995,182000,197495,210000,215000,230000,240000
Oadby and Wigston,150000,150000,144500,145000,156500,167000,180000,189250,205000,225000,235000,250000
Boston,120000,120000,122000,124000,130000,138000,140000,150000,158000,168000,169000,185000
East Lindsey,136125,130290,129000,132500,139000,147500,150000,160000,167000,175000,180000,198500
Lincoln,117000,119000,120000,120000,125000,130000,140000,143950,149000,155000,160000,172000
North Kesteven,148750,144142,145000,145000,157500,168000,176000,188000,193000,200000,212000,225000
South Holland,140000,130000,135000,137500,148500,155000,164995,175000,185000,187000,197498,220000
South Kesteven,161500,152500,155000,155000,169000,178000,186725,199000,217500,215000,225500,240000
