LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Darlington,22944,23261,23206,22461,26231,25299,27514,27797,26445,27703,27039,#
County Durham,22728,22817,23828,24063,24676,24746,25011,25667,26331,27557,28239,28259
Hartlepool,23663,24286,25757,24198,24957,26208,25970,25525,26929,26523,28653,27717
Middlesbrough,21260,20572,22724,21708,22742,24565,24966,24141,25434,26044,26645,26393
Northumberland,25156,25064,24490,25088,24892,25114,26454,27113,27460,27430,28472,28229
Redcar and Cleveland,21529,23607,22154,24344,24976,25023,24403,25390,24973,25836,26675,24781
Stockton-on-Tees,24472,25240,24677,26595,26154,26607,27752,26538,26889,29477,29450,27834
Gateshead,23091,23000,24458,24594,25078,24974,25049,25802,25985,26504,26476,26937
Newcastle upon Tyne,22289,22030,23331,24287,25343,26425,26577,26691,26928,28024,29050,30264
North Tyneside,24061,24017,23887,24185,24480,25757,26092,27855,28726,29525,29523,29029
South Tyneside,23242,22760,23231,23792,23925,24471,23744,25301,24979,25930,26529,27356
Sunderland,22350,22321,22642,23705,24165,24655,25171,24914,25649,25456,26626,24961
Blackburn with Darwen,22941,20974,21753,22091,23283,21519,22768,23183,23449,25121,24554,25902
Blackpool,18578,19254,19294,19943,19695,21010,21429,23055,22943,24795,24526,22833
Cheshire East,26006,26441,27072,27349,28294,27845,28754,28682,29881,31960,32601,32103
Cheshire West and Chester,28578,26029,26981,28000,28000,28561,28819,29478,29756,30970,31389,32921
Halton,22849,22781,23776,24998,25207,24974,25250,26143,27592,27690,30405,28829
Warrington,26506,26159,26617,25905,26203,28207,27856,28168,30776,30877,30245,31517
Allerdale,27060,22999,23749,26326,27811,26327,29315,29363,29730,30474,33339,35461
Barrow-in-Furness,26136,25402,25296,27627,30475,25977,25885,30025,33580,31929,35230,34664
Carlisle,22451,21997,22660,22646,22268,22988,23342,23192,24174,26437,29140,26396
Copeland,34278,32026,34600,38368,39061,40006,38620,43252,44281,33132,45067,42995
Eden,19180,21571,21408,25672,22815,23752,24257,24413,24506,29095,30683,31770
South Lakeland,25107,23798,24709,26245,26395,26104,29611,#,29404,28582,29411,30022
